PC                 ,Module ,Offset             ,Filename                                         ,Inline ,StartLine ,EndLine
0xffff80008003fea0 ,       ,0xffff80008003fea0 ,arch/arm64/kernel/syscall.c                      ,false  ,      141 ,    141
0xffff80008003ff50 ,       ,0xffff80008003ff50 ,arch/arm64/kernel/syscall.c                      ,false  ,       41 ,     41
0xffff80008003ff58 ,       ,0xffff80008003ff58 ,arch/arm64/kernel/syscall.c                      ,false  ,       44 ,     44
0xffff80008003ff58 ,       ,0xffff80008003ff58 ,arch/arm64/include/asm/percpu.h                  ,true   ,       44 ,     44
0xffff80008003ff84 ,       ,0xffff80008003ff84 ,arch/arm64/kernel/syscall.c                      ,false  ,       48 ,     48
0xffff80008003ffb0 ,       ,0xffff80008003ffb0 ,arch/arm64/kernel/syscall.c                      ,false  ,       44 ,     44
0xffff80008003ffb0 ,       ,0xffff80008003ffb0 ,arch/arm64/include/asm/jump_label.h              ,true   ,       32 ,     32
0xffff80008003ffc8 ,       ,0xffff80008003ffc8 ,arch/arm64/kernel/syscall.c                      ,false  ,       51 ,     51
0xffff80008003ffc8 ,       ,0xffff80008003ffc8 ,arch/arm64/kernel/syscall.c                      ,true   ,       24 ,     24
0xffff800080040018 ,       ,0xffff800080040018 ,arch/arm64/kernel/syscall.c                      ,false  ,       65 ,     65
0xffff800080040018 ,       ,0xffff800080040018 ,arch/arm64/include/asm/percpu.h                  ,true   ,       44 ,     44
0xffff800080040080 ,       ,0xffff800080040080 ,arch/arm64/kernel/syscall.c                      ,false  ,       65 ,     65
0xffff800080040080 ,       ,0xffff800080040080 ,arch/arm64/include/asm/jump_label.h              ,true   ,       32 ,     32
0xffff800080058ed0 ,       ,0xffff800080058ed0 ,arch/arm64/kernel/mte.c                          ,false  ,      334 ,    334
0xffff800080058ed8 ,       ,0xffff800080058ed8 ,arch/arm64/kernel/mte.c                          ,false  ,      338 ,    338
0xffff800080058ed8 ,       ,0xffff800080058ed8 ,arch/arm64/include/asm/alternative-macros.h      ,true   ,      254 ,    254
0xffff800080058ed8 ,       ,0xffff800080058ed8 ,arch/arm64/include/asm/cpufeature.h              ,true   ,      805 ,    805
0xffff800080058f5c ,       ,0xffff800080058f5c ,arch/arm64/kernel/mte.c                          ,false  ,      358 ,    358
0xffff800080058f9c ,       ,0xffff800080058f9c ,arch/arm64/kernel/mte.c                          ,false  ,      360 ,    360
0xffff800080058f9c ,       ,0xffff800080058f9c ,arch/arm64/kernel/mte.c                          ,true   ,      196 ,    196
0xffff800080058fb0 ,       ,0xffff800080058fb0 ,arch/arm64/kernel/mte.c                          ,false  ,      360 ,    360
0xffff800080058fb0 ,       ,0xffff800080058fb0 ,arch/arm64/kernel/mte.c                          ,true   ,      193 ,    193
0xffff800080058fbc ,       ,0xffff800080058fbc ,arch/arm64/kernel/mte.c                          ,false  ,      360 ,    360
0xffff800080058fbc ,       ,0xffff800080058fbc ,arch/arm64/kernel/mte.c                          ,true   ,      195 ,    195
0xffff800080058ff4 ,       ,0xffff800080058ff4 ,arch/arm64/kernel/mte.c                          ,false  ,      363 ,    363
0xffff800080058ffc ,       ,0xffff800080058ffc ,arch/arm64/kernel/mte.c                          ,false  ,      363 ,    363
0xffff800080058ffc ,       ,0xffff800080058ffc ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff800080059008 ,       ,0xffff800080059008 ,arch/arm64/kernel/mte.c                          ,false  ,      363 ,    363
0xffff80008005b664 ,       ,0xffff80008005b664 ,arch/arm64/mm/fault.c                            ,false  ,      216 ,    216
0xffff80008005b678 ,       ,0xffff80008005b678 ,arch/arm64/mm/fault.c                            ,false  ,      220 ,    220
0xffff80008005b6a4 ,       ,0xffff80008005b6a4 ,arch/arm64/mm/fault.c                            ,false  ,      239 ,    239
0xffff80008005b6a4 ,       ,0xffff80008005b6a4 ,arch/arm64/include/asm/atomic_lse.h              ,true   ,      268 ,    268
0xffff80008005b6a4 ,       ,0xffff80008005b6a4 ,arch/arm64/include/asm/cmpxchg.h                 ,true   ,      117 ,    117
0xffff80008005b6a4 ,       ,0xffff80008005b6a4 ,arch/arm64/include/asm/cmpxchg.h                 ,true   ,      168 ,    168
0xffff80008005b6b8 ,       ,0xffff80008005b6b8 ,arch/arm64/mm/fault.c                            ,false  ,      240 ,    240
0xffff80008005b6c8 ,       ,0xffff80008005b6c8 ,arch/arm64/mm/fault.c                            ,false  ,      239 ,    239
0xffff80008005b6c8 ,       ,0xffff80008005b6c8 ,arch/arm64/include/asm/atomic_ll_sc.h            ,true   ,      281 ,    281
0xffff80008005b6c8 ,       ,0xffff80008005b6c8 ,arch/arm64/include/asm/cmpxchg.h                 ,true   ,      117 ,    117
0xffff80008005b6c8 ,       ,0xffff80008005b6c8 ,arch/arm64/include/asm/cmpxchg.h                 ,true   ,      168 ,    168
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/mm/fault.c                            ,false  ,      244 ,    244
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      307 ,    307
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/include/asm/alternative-macros.h      ,true   ,      254 ,    254
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/include/asm/mmu.h                     ,true   ,       61 ,     61
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      293 ,    293
0xffff80008005b714 ,       ,0xffff80008005b714 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      301 ,    301
0xffff80008005b720 ,       ,0xffff80008005b720 ,arch/arm64/mm/fault.c                            ,false  ,      244 ,    244
0xffff80008005b720 ,       ,0xffff80008005b720 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      294 ,    294
0xffff80008005b720 ,       ,0xffff80008005b720 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      301 ,    301
0xffff80008005b720 ,       ,0xffff80008005b720 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      307 ,    307
0xffff80008005b738 ,       ,0xffff80008005b738 ,arch/arm64/mm/fault.c                            ,false  ,      243 ,    243
0xffff80008005b744 ,       ,0xffff80008005b744 ,arch/arm64/mm/fault.c                            ,false  ,      244 ,    244
0xffff80008005b744 ,       ,0xffff80008005b744 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      301 ,    301
0xffff80008005b744 ,       ,0xffff80008005b744 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      293 ,    293
0xffff80008005b744 ,       ,0xffff80008005b744 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      307 ,    307
0xffff80008005b760 ,       ,0xffff80008005b760 ,arch/arm64/mm/fault.c                            ,false  ,      244 ,    244
0xffff80008005b760 ,       ,0xffff80008005b760 ,include/linux/mmu_notifier.h                     ,true   ,      478 ,    478
0xffff80008005b760 ,       ,0xffff80008005b760 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      294 ,    294
0xffff80008005b760 ,       ,0xffff80008005b760 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      301 ,    301
0xffff80008005b760 ,       ,0xffff80008005b760 ,arch/arm64/include/asm/tlbflush.h                ,true   ,      307 ,    307
0xffff80008005b7f4 ,       ,0xffff80008005b7f4 ,arch/arm64/mm/fault.c                            ,false  ,      875 ,    875
0xffff80008005b83c ,       ,0xffff80008005b83c ,arch/arm64/mm/fault.c                            ,false  ,      890 ,    890
0xffff80008005b85c ,       ,0xffff80008005b85c ,arch/arm64/mm/fault.c                            ,false  ,      879 ,    879
0xffff80008005b8ac ,       ,0xffff80008005b8ac ,arch/arm64/mm/fault.c                            ,false  ,      883 ,    883
0xffff80008005b8ac ,       ,0xffff80008005b8ac ,arch/arm64/mm/fault.c                            ,true   ,      308 ,    308
0xffff80008005bcd0 ,       ,0xffff80008005bcd0 ,arch/arm64/mm/fault.c                            ,false  ,      975 ,    975
0xffff80008005c7e4 ,       ,0xffff80008005c7e4 ,include/linux/mm.h                               ,false  ,      726 ,    726
0xffff80008005d928 ,       ,0xffff80008005d928 ,arch/arm64/mm/flush.c                            ,false  ,       53 ,     53
0xffff80008005d974 ,       ,0xffff80008005d974 ,arch/arm64/mm/flush.c                            ,false  ,       54 ,     54
0xffff80008005d974 ,       ,0xffff80008005d974 ,include/linux/page-flags.h                       ,true   ,      246 ,    246
0xffff80008005d998 ,       ,0xffff80008005d998 ,arch/arm64/mm/flush.c                            ,false  ,       59 ,     59
0xffff80008005d998 ,       ,0xffff80008005d998 ,include/linux/mm.h                               ,true   ,     2137 ,   2137
0xffff80008005d998 ,       ,0xffff80008005d998 ,include/linux/mm.h                               ,true   ,     1115 ,   1115
0xffff80008005d9b4 ,       ,0xffff80008005d9b4 ,arch/arm64/mm/flush.c                            ,false  ,       59 ,     59
0xffff80008005d9b4 ,       ,0xffff80008005d9b4 ,include/linux/mm.h                               ,true   ,     2137 ,   2137
0xffff80008005d9cc ,       ,0xffff80008005d9cc ,arch/arm64/mm/flush.c                            ,false  ,       57 ,     57
0xffff80008005d9cc ,       ,0xffff80008005d9cc ,arch/arm64/mm/flush.c                            ,true   ,       28 ,     28
0xffff80008005d9f0 ,       ,0xffff80008005d9f0 ,arch/arm64/mm/flush.c                            ,false  ,       57 ,     57
0xffff80008005d9f0 ,       ,0xffff80008005d9f0 ,arch/arm64/include/asm/cacheflush.h              ,true   ,      138 ,    138
0xffff80008005d9f0 ,       ,0xffff80008005d9f0 ,arch/arm64/mm/flush.c                            ,true   ,       22 ,     22
0xffff80008005da00 ,       ,0xffff80008005da00 ,arch/arm64/mm/flush.c                            ,false  ,       60 ,     60
0xffff80008005da00 ,       ,0xffff80008005da00 ,arch/arm64/include/asm/atomic_lse.h              ,true   ,      132 ,    132
0xffff80008005da00 ,       ,0xffff80008005da00 ,arch/arm64/include/asm/atomic.h                  ,true   ,       65 ,     65
0xffff80008005da00 ,       ,0xffff80008005da00 ,include/linux/atomic/atomic-arch-fallback.h      ,true   ,     3798 ,   3798
0xffff80008005da00 ,       ,0xffff80008005da00 ,include/linux/atomic/atomic-long.h               ,true   ,     1069 ,   1069
0xffff80008005da00 ,       ,0xffff80008005da00 ,include/asm-generic/bitops/atomic.h              ,true   ,       18 ,     18
0xffff80008005da00 ,       ,0xffff80008005da00 ,include/asm-generic/bitops/instrumented-atomic.h ,true   ,       29 ,     29
0xffff80008005da10 ,       ,0xffff80008005da10 ,arch/arm64/mm/flush.c                            ,false  ,       54 ,     54
0xffff80008005da10 ,       ,0xffff80008005da10 ,include/linux/page-flags.h                       ,true   ,      245 ,    245
0xffff80008005da20 ,       ,0xffff80008005da20 ,arch/arm64/mm/flush.c                            ,false  ,       56 ,     56
0xffff80008005da60 ,       ,0xffff80008005da60 ,arch/arm64/mm/flush.c                            ,false  ,       59 ,     59
0xffff80008005da60 ,       ,0xffff80008005da60 ,include/linux/mm.h                               ,true   ,     2137 ,   2137
0xffff80008005da80 ,       ,0xffff80008005da80 ,arch/arm64/mm/flush.c                            ,false  ,       60 ,     60
0xffff80008005da80 ,       ,0xffff80008005da80 ,arch/arm64/include/asm/atomic.h                  ,true   ,       65 ,     65
0xffff80008005da80 ,       ,0xffff80008005da80 ,arch/arm64/include/asm/atomic_ll_sc.h            ,true   ,      203 ,    203
0xffff80008005da80 ,       ,0xffff80008005da80 ,include/linux/atomic/atomic-arch-fallback.h      ,true   ,     3798 ,   3798
0xffff80008005da80 ,       ,0xffff80008005da80 ,include/linux/atomic/atomic-long.h               ,true   ,     1069 ,   1069
0xffff80008005da80 ,       ,0xffff80008005da80 ,include/asm-generic/bitops/atomic.h              ,true   ,       18 ,     18
0xffff80008005da80 ,       ,0xffff80008005da80 ,include/asm-generic/bitops/instrumented-atomic.h ,true   ,       29 ,     29
0xffff80008005daa0 ,       ,0xffff80008005daa0 ,arch/arm64/mm/flush.c                            ,false  ,       57 ,     57
0xffff80008005daa0 ,       ,0xffff80008005daa0 ,arch/arm64/include/asm/alternative-macros.h      ,true   ,      254 ,    254
0xffff80008005daa0 ,       ,0xffff80008005daa0 ,arch/arm64/include/asm/cacheflush.h              ,true   ,      135 ,    135
0xffff80008005daa0 ,       ,0xffff80008005daa0 ,arch/arm64/mm/flush.c                            ,true   ,       22 ,     22
0xffff80008005dad4 ,       ,0xffff80008005dad4 ,arch/arm64/mm/flush.c                            ,false  ,       71 ,     71
0xffff80008005dae0 ,       ,0xffff80008005dae0 ,arch/arm64/mm/flush.c                            ,false  ,       72 ,     72
0xffff80008005daec ,       ,0xffff80008005daec ,arch/arm64/mm/flush.c                            ,false  ,       73 ,     73
0xffff80008005daec ,       ,0xffff80008005daec ,include/asm-generic/bitops/instrumented-atomic.h ,true   ,       42 ,     42
0xffff80008005daec ,       ,0xffff80008005daec ,include/asm-generic/bitops/atomic.h              ,true   ,       25 ,     25
0xffff80008005daec ,       ,0xffff80008005daec ,arch/arm64/include/asm/atomic_lse.h              ,true   ,      131 ,    131
0xffff80008005daec ,       ,0xffff80008005daec ,arch/arm64/include/asm/atomic.h                  ,true   ,       64 ,     64
0xffff80008005daec ,       ,0xffff80008005daec ,include/linux/atomic/atomic-arch-fallback.h      ,true   ,     3675 ,   3675
0xffff80008005daec ,       ,0xffff80008005daec ,include/linux/atomic/atomic-long.h               ,true   ,      964 ,    964
0xffff80008005db2c ,       ,0xffff80008005db2c ,arch/arm64/mm/flush.c                            ,false  ,       73 ,     73
0xffff80008005db2c ,       ,0xffff80008005db2c ,include/asm-generic/bitops/atomic.h              ,true   ,       25 ,     25
0xffff80008005db2c ,       ,0xffff80008005db2c ,arch/arm64/include/asm/atomic_ll_sc.h            ,true   ,      210 ,    210
0xffff80008005db2c ,       ,0xffff80008005db2c ,arch/arm64/include/asm/atomic.h                  ,true   ,       64 ,     64
0xffff80008005db2c ,       ,0xffff80008005db2c ,include/linux/atomic/atomic-arch-fallback.h      ,true   ,     3675 ,   3675
0xffff80008005db2c ,       ,0xffff80008005db2c ,include/linux/atomic/atomic-long.h               ,true   ,      964 ,    964
0xffff80008005db2c ,       ,0xffff80008005db2c ,include/asm-generic/bitops/instrumented-atomic.h ,true   ,       42 ,     42
0xffff80008005e024 ,       ,0xffff80008005e024 ,arch/arm64/mm/mmap.c                             ,false  ,       85 ,     85
0xffff80008005e050 ,       ,0xffff80008005e050 ,arch/arm64/mm/mmap.c                             ,false  ,      106 ,    106
0xffff80008005e050 ,       ,0xffff80008005e050 ,arch/arm64/include/asm/cpufeature.h              ,true   ,      838 ,    838
0xffff80008005e050 ,       ,0xffff80008005e050 ,arch/arm64/include/asm/alternative-macros.h      ,true   ,      254 ,    254
0xffff80008005e088 ,       ,0xffff80008005e088 ,arch/arm64/mm/mmap.c                             ,false  ,      107 ,    107
0xffff800080113d18 ,       ,0xffff800080113d18 ,kernel/fork.c                                    ,false  ,      475 ,    475
0xffff800080113da8 ,       ,0xffff800080113da8 ,kernel/fork.c                                    ,false  ,      483 ,    483
0xffff800080113da8 ,       ,0xffff800080113da8 ,kernel/fork.c                                    ,true   ,      456 ,    456
0xffff800080113dd0 ,       ,0xffff800080113dd0 ,kernel/fork.c                                    ,false  ,      479 ,    479
0xffff800080113dd8 ,       ,0xffff800080113dd8 ,kernel/fork.c                                    ,false  ,      484 ,    484
0xffff80008011e180 ,       ,0xffff80008011e180 ,kernel/cpu.c                                     ,false  ,      489 ,    489
0xffff80008011e1ec ,       ,0xffff80008011e1ec ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e1ec ,       ,0xffff80008011e1ec ,include/linux/percpu-rwsem.h                     ,true   ,       63 ,     63
0xffff80008011e208 ,       ,0xffff80008011e208 ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e208 ,       ,0xffff80008011e208 ,include/linux/percpu-rwsem.h                     ,true   ,       70 ,     70
0xffff80008011e244 ,       ,0xffff80008011e244 ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e244 ,       ,0xffff80008011e244 ,include/linux/percpu-rwsem.h                     ,true   ,       65 ,     65
0xffff80008011e25c ,       ,0xffff80008011e25c ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e25c ,       ,0xffff80008011e25c ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff80008011e25c ,       ,0xffff80008011e25c ,include/linux/percpu-rwsem.h                     ,true   ,       70 ,     70
0xffff80008011e268 ,       ,0xffff80008011e268 ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e268 ,       ,0xffff80008011e268 ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff80008011e268 ,       ,0xffff80008011e268 ,include/linux/percpu-rwsem.h                     ,true   ,       63 ,     63
0xffff80008011e274 ,       ,0xffff80008011e274 ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e274 ,       ,0xffff80008011e274 ,include/linux/percpu-rwsem.h                     ,true   ,       70 ,     70
0xffff80008011e27c ,       ,0xffff80008011e27c ,kernel/cpu.c                                     ,false  ,      490 ,    490
0xffff80008011e27c ,       ,0xffff80008011e27c ,include/linux/percpu-rwsem.h                     ,true   ,       63 ,     63
0xffff80008011e3e0 ,       ,0xffff80008011e3e0 ,kernel/cpu.c                                     ,false  ,      501 ,    501
0xffff80008011e448 ,       ,0xffff80008011e448 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e448 ,       ,0xffff80008011e448 ,include/linux/percpu-rwsem.h                     ,true   ,      106 ,    106
0xffff80008011e464 ,       ,0xffff80008011e464 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e464 ,       ,0xffff80008011e464 ,include/linux/percpu-rwsem.h                     ,true   ,      121 ,    121
0xffff80008011e4e8 ,       ,0xffff80008011e4e8 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e4e8 ,       ,0xffff80008011e4e8 ,include/linux/percpu-rwsem.h                     ,true   ,      118 ,    118
0xffff80008011e4fc ,       ,0xffff80008011e4fc ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e4fc ,       ,0xffff80008011e4fc ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff80008011e4fc ,       ,0xffff80008011e4fc ,include/linux/percpu-rwsem.h                     ,true   ,      121 ,    121
0xffff80008011e508 ,       ,0xffff80008011e508 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e508 ,       ,0xffff80008011e508 ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff80008011e508 ,       ,0xffff80008011e508 ,include/linux/percpu-rwsem.h                     ,true   ,      106 ,    106
0xffff80008011e514 ,       ,0xffff80008011e514 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e514 ,       ,0xffff80008011e514 ,arch/arm64/include/asm/preempt.h                 ,true   ,       74 ,     74
0xffff80008011e514 ,       ,0xffff80008011e514 ,include/linux/percpu-rwsem.h                     ,true   ,      118 ,    118
0xffff80008011e520 ,       ,0xffff80008011e520 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e520 ,       ,0xffff80008011e520 ,include/linux/percpu-rwsem.h                     ,true   ,      121 ,    121
0xffff80008011e528 ,       ,0xffff80008011e528 ,kernel/cpu.c                                     ,false  ,      502 ,    502
0xffff80008011e528 ,       ,0xffff80008011e528 ,include/linux/percpu-rwsem.h                     ,true   ,      106 ,    106
0xffff80008011e534 ,       ,0xffff80008011e534 ,kernel/cpu.c                                     ,false  ,      502 ,    502
